codigo_ibge,municipio,populacao,ano
1100015,ALTA FLORESTA D'OESTE - RO,22787,2025
1100023,ARIQUEMES - RO,109170,2025
1100031,CABIXI - RO,5664,2025
1100049,CACOAL - RO,98280,2025
1100056,CEREJEIRAS - RO,16966,2025
1100064,COLORADO DO OESTE - RO,16508,2025
1100072,CORUMBIARA - RO,7968,2025
1100080,COSTA MARQUES - RO,13510,2025
1100098,ESPIGÃO D'OESTE - RO,32842,2025
1100106,GUAJARÁ-MIRIM - RO,43594,2025
1100114,JARU - RO,55682,2025
1100122,JI-PARANÁ - RO,140101,2025
1100130,MACHADINHO D'OESTE - RO,34149,2025
1100148,NOVA BRASILÂNDIA D'OESTE - RO,16374,2025
1100155,OURO PRETO DO OESTE - RO,38684,2025
1100189,PIMENTA BUENO - RO,39220,2025
1100205,PORTO VELHO - RO,517709,2025
1100254,PRESIDENTE MÉDICI - RO,20443,2025
1100262,RIO CRESPO - RO,3767,2025
1100288,ROLIM DE MOURA - RO,62959,2025
1100296,SANTA LUZIA D'OESTE - RO,7837,2025
1100304,VILHENA - RO,109651,2025
1100320,SÃO MIGUEL DO GUAPORÉ - RO,22305,2025
1100338,NOVA MAMORÉ - RO,28701,2025
1100346,ALVORADA D'OESTE - RO,13720,2025
1100379,ALTO ALEGRE DOS PARECIS - RO,12237,2025
1100403,ALTO PARAÍSO - RO,17467,2025
1100452,BURITIS - RO,30649,2025
1100502,NOVO HORIZONTE DO OESTE - RO,7972,2025
1100601,CACAULÂNDIA - RO,4292,2025
1100700,CAMPO NOVO DE RONDÔNIA - RO,9095,2025
1100809,CANDEIAS DO JAMARI - RO,24313,2025
1100908,CASTANHEIRAS - RO,3450,2025
1100924,CHUPINGUAIA - RO,10191,2025
1100940,CUJUBIM - RO,15877,2025
1101005,GOVERNADOR JORGE TEIXEIRA - RO,8340,2025
1101104,ITAPUÃ DO OESTE - RO,9228,2025
1101203,MINISTRO ANDREAZZA - RO,6519,2025
1101302,MIRANTE DA SERRA - RO,9657,2025
1101401,MONTE NEGRO - RO,12168,2025
1101435,NOVA UNIÃO - RO,6541,2025
1101450,PARECIS - RO,4372,2025
1101468,PIMENTEIRAS DO OESTE - RO,2309,2025
1101476,PRIMAVERA DE RONDÔNIA - RO,3268,2025
1101484,SÃO FELIPE D'OESTE - RO,5588,2025
1101492,SÃO FRANCISCO DO GUAPORÉ - RO,17557,2025
1101500,SERINGUEIRAS - RO,12965,2025
1101559,TEIXEIRÓPOLIS - RO,4521,2025
1101609,THEOBROMA - RO,8459,2025
1101708,URUPÁ - RO,11314,2025
1101757,VALE DO ANARI - RO,8220,2025
1101807,VALE DO PARAÍSO - RO,6790,2025
1200013,ACRELÂNDIA - AC,14712,2025
1200054,ASSIS BRASIL - AC,8648,2025
1200104,BRASILÉIA - AC,28028,2025
1200138,BUJARI - AC,13928,2025
1200179,CAPIXABA - AC,10981,2025
1200203,CRUZEIRO DO SUL - AC,98916,2025
1200252,EPITACIOLÂNDIA - AC,19874,2025
1200302,FEIJÓ - AC,37764,2025
1200328,JORDÃO - AC,9884,2025
1200336,MÂNCIO LIMA - AC,20479,2025
1200344,MANOEL URBANO - AC,12923,2025
1200351,MARECHAL THAUMATURGO - AC,18057,2025
1200385,PLÁCIDO DE CASTRO - AC,17107,2025
1200393,PORTO WALTER - AC,11333,2025
1200401,RIO BRANCO - AC,389001,2025
1200427,RODRIGUES ALVES - AC,15560,2025
1200435,SANTA ROSA DO PURUS - AC,7217,2025
1200450,SENADOR GUIOMARD - AC,22402,2025
1200500,SENA MADUREIRA - AC,44049,2025
1200609,TARAUACÁ - AC,46816,2025
1200708,XAPURI - AC,19170,2025
1200807,PORTO ACRE - AC,17523,2025
1300029,ALVARÃES - AM,16806,2025
1300060,AMATURÁ - AM,11533,2025
1300086,ANAMÃ - AM,9981,2025
1300102,ANORI - AM,18056,2025
1300144,APUÍ - AM,21781,2025
1300201,ATALAIA DO NORTE - AM,15889,2025
1300300,AUTAZES - AM,45960,2025
1300409,BARCELOS - AM,18210,2025
1300508,BARREIRINHA - AM,33722,2025
1300607,BENJAMIN CONSTANT - AM,40908,2025
1300631,BERURI - AM,22495,2025
1300680,BOA VISTA DO RAMOS - AM,26479,2025
1300706,BOCA DO ACRE - AM,38792,2025
1300805,BORBA - AM,34869,2025
1300839,CAAPIRANGA - AM,14806,2025
1300904,CANUTAMA - AM,18109,2025
1301001,CARAUARI - AM,31130,2025
1301100,CAREIRO - AM,32336,2025
1301159,CAREIRO DA VÁRZEA - AM,20324,2025
1301209,COARI - AM,73576,2025
1301308,CODAJÁS - AM,24572,2025
1301407,EIRUNEPÉ - AM,35793,2025
